"BRC_NAMES","BRC_NUMBER","AMALG_BRC_NAME","AMALG_BRC_CODE","GROWTH_FORM"
"Plagiomnium undulatum",820395,"Plagiomnium undulatum",820395,"b"
"Plagiothecium denticulatum",820449,"Plagiothecium denticulatum",820449,"b"
"Plagiothecium nemorale",820456,"Plagiothecium nemorale",820456,"b"
"Plagiothecium sp",8201206,"Plagiothecium sp",8201206,"b"
"Plagiothecium undulatum",820459,"Plagiothecium undulatum",820459,"b"
"Plantago coronopus",9201485,"Plantago coronopus",9201485,"f"
"Plantago lanceolata",9201487,"Plantago lanceolata",9201487,"f"
"Plantago major",9201488,"Plantago major",9201488,"f"
"Platanthera chlorantha",9201493,"Platanthera chlorantha",9201493,"m"
"Pleurozia purpurea",810881,"Pleurozia purpurea",810881,"b"
"Pleurozium schreberi",820463,"Pleurozium schreberi",820463,"b"
"Poa angustifolia",9201506.2,"Poa angustifolia",9201506.2,"g"
"Poa annua",9201495,"Poa annua",9201495,"g"
"Poa nemoralis",9201504,"Poa nemoralis/trivialis",200001593,"g"
"Poa nemoralis/trivialis",200001593,"Poa nemoralis/trivialis",200001593,"g"
"Poa humilis",9201506.5,"Poa pratensis sens.lat.",9201506,"g"
"Poa pratensis sens.lat.",9201506,"Poa pratensis sens.lat.",9201506,"g"
"Poa sp.",9204547,"Poa sp.",9204547,"g"
"Poa trivialis",9201507,"Poa nemoralis/trivialis",200001593,"g"
"Pogonatum aloides",820479,"Pogonatum aloides",820479,"b"
"Pohlia carnea",820470,"Pohlia carnea",820470,"b"
"Pohlia nutans",820475,"Pohlia nutans",820475,"b"
"Pohlia sp.",8201213,"Pohlia sp.",8201213,"b"
"Polygala calcarea",9201512,"Polygala calcarea",9201512,"f"
"Polygala oxyptera",9201515,"Polygala oxyptera",9201515,"f"
"Polygala serpyllifolia",9201514,"Polygala serpyllifolia",9201514,"f"
"Polygala sp.",9204548,"Polygala sp.",9204548,"f"
"Polygala vulgaris/serpyllifolia",20000323,"Polygala vulgaris/serpyllifolia",20000323,"f"
"Polygonatum multiflorum",9201516,"Polygonatum multiflorum",9201516,"m"
"Polygonatum odoratum",9201518,"Polygonatum odoratum",9201518,"m"
"Polygonum arenastrum",9201520,"Polygonum arenastrum",9201520,"f"
"Polygonum aviculare agg.",9201522,"Polygonum aviculare agg.",9201522,"f"
"Polygonum lapathifolium",9201531,"Polygonum lapathifolium",9201531,"f"
"Polygonum sp.",9204549,"Polygonum sp.",9204549,"f"
"Polypodium interjectum",9101544.3,"Polypodium sp.",200001676,"fe"
"Polypodium sp.",200001676,"Polypodium sp.",200001676,"fe"
"Polypodium vulgare sens.lat.",9101544,"Polypodium sp.",200001676,"fe"
"Polystichum aculeatum",9101546,"Polystichum aculeatum",9101546,"fe"
"Polystichum setiferum",9101548,"Polystichum setiferum",9101548,"fe"
"Polystichum setiferum/aculeatum",20000330,"Polystichum setiferum/aculeatum",20000330,"fe"
"Polystichum sp.",9104651,"Polystichum sp.",9104651,"fe"
"Polytrichum commune",820482,"Polytrichum commune",820482,"b"
"Polytrichum formosum",820483,"Polytrichum formosum",820483,"b"
"Polytrichum juniperinum",820485,"Polytrichum juniperinum",820485,"b"
"Polytrichum piliferum",820488,"Polytrichum piliferum",820488,"b"
"Polytrichum sp",8201214,"Polytrichum sp",8201214,"b"
"Poo",20000887.6,"Poo",20000887.6,""
"Populus alba",9201549,"Populus alba",9201549,"w"
"Populus canescens",9201551,"Populus canescens",9201551,"w"
"Populus deltoides",9204550,"Populus deltoides",9204550,"w"
"Populus nigra",9204313,"Populus nigra",9204313,"w"
"Populus sp",200001651,"Populus sp",200001651,"w"
"Populus tremula",9201555,"Populus tremula",9201555,"w"
"Potamogeton natans",9201570,"Potamogeton natans",9201570,"aq"
"Potamogeton polygonifolius",9201576,"Potamogeton polygonifolius",9201576,"aq"
"Potamogeton sp.",9204551,"Potamogeton sp.",9204551,"aq"
"Potentilla anserina",9201584,"Potentilla anserina",9201584,"f"
"Potentilla erecta",9201588,"Potentilla erecta",9201588,"f"
"Potentilla palustris",9201592,"Potentilla palustris",9201592,"f"
"Potentilla recta",9201593,"Potentilla recta",9201593,"f"
"Potentilla reptans",9201594,"Potentilla reptans",9201594,"f"
"Potentilla sp.",9205173,"Potentilla sp.",9205173,"f"
"Potentilla sterilis",9201596,"Potentilla sterilis",9201596,"f"
"Pottia sp.",8201215,"Pottia sp.",8201215,"b"
"Pottia truncata",820501,"Pottia truncata",820501,"b"
"Primula elatior",9201600,"Primula elatior",9201600,"f"
"Primula sp.",200001654,"Primula sp.",200001654,"f"
"Primula veris",9201605,"Primula veris",9201605,"f"
"Primula vulgaris",9201607,"Primula vulgaris",9201607,"f"
"Prunella vulgaris",9201610,"Prunella vulgaris",9201610,"f"
"Prunus avium",9201611,"Prunus avium",9201611,"w"
"Prunus cerasus",9201613,"Prunus cerasus",9201613,"w"
"Prunus domestica",9201614,"Prunus domestica",9201614,"w"
"Prunus laurocerasus",9201615,"Prunus laurocerasus",9201615,"w"
"Prunus padus",9201616,"Prunus padus",9201616,"w"
"Prunus sp.",9204552,"Prunus sp.",9204552,"w"
"Prunus spinosa",9201617,"Prunus spinosa",9201617,"w"
"Pseudephemerum nitidum",820503,"Pseudephemerum nitidum",820503,"b"
"Pseudoscleropodium purum",820507,"Pseudoscleropodium purum",820507,"b"
"Pseudotsuga menziesii",9201618,"Pseudotsuga menziesii",9201618,"w"
"Pseudotsuga spp.",9205178,"Pseudotsuga spp.",9205178,"w"
"Pteridium aquilinum",9101619,"Pteridium aquilinum",9101619,"fe"
"Ptilidium ciliare",810888,"Ptilidium ciliare",810888,"b"
"Ptilium crista-castrensis",820512,"Ptilium crista-castrensis",820512,"b"
"Pulicaria dysenterica",9201625,"Pulicaria dysenterica",9201625,"f"
"Pulmonaria longifolia",9201627,"Pulmonaria longifolia",9201627,"f"
"Pyrola minor",9201631,"Pyrola minor",9201631,"f"
"Pyrus sp.",200001656,"Pyrus sp.",200001656,"w"
"Quercus cerris",9201635,"Quercus cerris",9201635,"w"
"Quercus ilex",9201637,"Quercus ilex",9201637,"w"
"Quercus rubra",9202419,"Quercus rubra",9202419,"w"
"Quercus petraea",9201638,"Quercus seedling/sp",9204446,"w"
"Quercus robur",9201640,"Quercus seedling/sp",9204446,"w"
"Quercus seedling/sp",9204446,"Quercus seedling/sp",9204446,"w"
"Racomitrium aciculare",820519,"Racomitrium aciculare",820519,"b"
"Racomitrium canescens sens.lat.",820521,"Racomitrium canescens sens.lat.",820521,"b"
"Racomitrium heterostichum sens.lat.",820524,"Racomitrium heterostichum sens.lat.",820524,"b"
"Racomitrium lanuginosum",820525,"Racomitrium lanuginosum",820525,"b"
"Racomitrium sp.",8201226,"Racomitrium sp.",8201226,"b"
"Ranunculus acris",9201642,"Ranunculus acris",9201642,"f"
"Ranunculus auricomus",9201645,"Ranunculus auricomus",9201645,"f"
"Ranunculus bulbosus",9201647,"Ranunculus bulbosus",9201647,"f"
"Ranunculus ficaria",9201649,"Ranunculus ficaria",9201649,"f"
"Ranunculus flammula",9201651,"Ranunculus flammula",9201651,"f"
"Ranunculus repens",9201660,"Ranunculus repens",9201660,"f"
"Ranunculus seedling/sp",9204555,"Ranunculus seedling/sp",9204555,"f"
"Raphanus raphanistrum",9205481,"Raphanus raphanistrum",9205481,"f"
"Reseda lutea",9201672,"Reseda lutea",9201672,"f"
"Rhamnus cathartica",9201675,"Rhamnus cathartica",9201675,"w"
"Rhinanthus minor",9201678,"Rhinanthus minor",9201678,"f"
"Rhinanthus sp.",9205193,"Rhinanthus minor",9201678,"f"
"Rhizomnium punctatum",820389,"Rhizomnium punctatum",820389,"b"
"Rhizomnium sp.",200001449,"Rhizomnium sp.",200001449,"b"
"Rhododendron ponticum",9201687,"Rhododendron ponticum",9201687,"w"
"Rhododendron spp.",9205194,"Rhododendron spp.",9205194,"w"
"Rhynchospora alba",9201691,"Rhynchospora alba",9201691,"s"
"Rhynchostegium confertum",820245,"Rhynchostegium confertum",820245,"b"
"Rhynchostegium confertum",820184,"Rhynchostegium confertum",820184,"b"
"Rhytidiadelphus loreus",820532,"Rhytidiadelphus loreus",820532,"b"
"Rhytidiadelphus sp.",200001658,"Rhytidiadelphus sp.",200001658,"b"
"Rhytidiadelphus squarrosus",820533,"Rhytidiadelphus squarrosus",820533,"b"
"Rhytidiadelphus triquetrus",820534,"Rhytidiadelphus triquetrus",820534,"b"
"Ribes nigrum",9201694,"Ribes nigrum/rubrum",200001589,"w"
"Ribes nigrum/rubrum",200001589,"Ribes nigrum/rubrum",200001589,"w"
"Ribes rubrum",9201696,"Ribes nigrum/rubrum",200001589,"w"
"Ribes sp.",200001596,"Ribes sp.",200001596,"w"
"Ribes uva-crispa",9201697,"Ribes uva-crispa",9201697,"w"
"Riccardia multifida",810899,"Riccardia multifida",810899,"b"
"Riccardia palmata",810900,"Riccardia palmata",810900,"b"
"Riccardia sp",200001244,"Riccardia sp",200001244,"b"
"Robinia pseudoacacia",9201698,"Robinia pseudoacacia",9201698,"f"
"Rock",20000887.5,"Rock",20000887.5,NA
"Rorippa islandica sens.str.",9202546,"Rorippa islandica sens.str.",9202546,"f"
"Rorippa nasturtium-aquaticum agg.",9201348,"Rorippa nasturtium-aquaticum agg.",9201348,"f"
"Rosa arvensis",9201707,"Rosa seedling/sp",9201705,"w"
"Rosa canina agg.",9201708,"Rosa seedling/sp",9201705,"w"
"Rosa pimpinellifolia",9201719,"Rosa pimpinellifolia",9201719,"w"
"Rosa rubiginosa",9201714,"Rosa rubiginosa",9201714,"w"
"Rosa seedling/sp",9201705,"Rosa seedling/sp",9201705,"w"
"Rubia peregrina",9201725,"Rubia peregrina",9201725,"f"
"Rubus caesius",9201726,"Rubus caesius",9201726,"w"
"Rubus chamaemorus",9201727,"Rubus chamaemorus",9201727,"w"
"Rubus fruticosus agg.",9201728,"Rubus fruticosus agg.",9201728,"w"
"Rubus idaeus",9201729,"Rubus idaeus",9201729,"w"
"Rubus saxatilis",9201730,"Rubus saxatilis",9201730,"w"
"Rubus seedling",9205203,"Rubus seedling",9205203,""
"Rubus sp.",200001659,"Rubus sp.",200001659,"w"
"Rumex acetosa",9201734,"Rumex acetosa",9201734,"f"
"Rumex acetosella",9201735,"Rumex acetosella",9201735,"f"
"Rumex conglomeratus",9201741,"Rumex conglomeratus/sanguineus",20000377,"f"
"Rumex conglomeratus/sanguineus",20000377,"Rumex conglomeratus/sanguineus",20000377,"f"
"Rumex crispus",9201742,"Rumex crispus",9201742,"f"
"Rumex hydrolapathum",9201745,"Rumex hydrolapathum",9201745,"f"
"Rumex obtusifolius",9201748,"Rumex obtusifolius",9201748,"f"
"Rumex sanguineus",9201753,"Rumex conglomeratus/sanguineus",20000377,"f"
"Rumex seedling/sp",9204557,"Rumex seedling/sp",9204557,"f"
"Ruscus aculeatus",9201760,"Ruscus aculeatus",9201760,"m"
"Saccogyna viticulosa",810918,"Saccogyna viticulosa",810918,"b"
"Sagina apetala",9202559,"Sagina apetala",9202559,"f"
"Sagina (procumbens)",9205207.1,"Sagina procumbens",9201767,"f"
"Sagina procumbens",9201767,"Sagina procumbens",9201767,"f"
"Sagina sp.",9205207,"Sagina sp.",9205207,"f"
"Salix aurita",9201787,"Salix aurita",9201787,"w"
"Salix caprea",9201788,"Salix cin/cap",9201788,"w"
"Salix cinerea",9201789,"Salix cin/cap",9201789,"w"
"Salix fragilis",9201793,"Salix fragilis",9201793,"w"
"Salix repens agg.",9201802,"Salix repens agg.",9201802,"w"
"Salix seedling/sp",9204558,"Salix cin/cap",200004002,"w"
"Salix viminalis",9201805,"Salix viminalis",9201805,"w"
"Sambucus nigra",9201815,"Sambucus nigra",9201815,"w"
"Sambucus racemosa",9201816,"Sambucus racemosa",9201816,"w"
"Sambucus sp.",9205211,"Sambucus sp.",9205211,"w"
"Sanguisorba officinalis",9201818,"Sanguisorba officinalis",9201818,"f"
"Sanicula europaea",9201819,"Sanicula europaea",9201819,"f"
"Saxifraga aizoides",9201826,"Saxifraga aizoides",9201826,"f"
"Saxifraga granulata",9201830,"Saxifraga granulata",9201830,"f"
"Saxifraga oppositifolia",9201837,"Saxifraga oppositifolia",9201837,"f"
"Saxifraga umbrosa",9201844,"Saxifraga umbrosa",9201844,"f"
"Scabiosa columbaria",9201846,"Scabiosa columbaria",9201846,"f"
"Scabiosa sp.",200001661,"Scabiosa sp.",200001661,"f"
"Scapania gracilis",810927,"Scapania gracilis",810927,"b"
"Scapania sp.",8101338,"Scapania sp.",8101338,"b"
"Scapania umbrosa",810938,"Scapania umbrosa",810938,"b"
"Scapania undulata",810939,"Scapania undulata",810939,"b"
"Scirpus sylvaticus",9201861,"Scirpus sylvaticus",9201861,"m"
"Scorpidium scorpioides",820541,"Scorpidium scorpioides",820541,"b"
"Scrophularia auriculata",9201865,"Scrophularia auriculata",9201865,"f"
"Scrophularia nodosa",9201867,"Scrophularia nodosa",9201867,"f"
"Scrophularia vernalis",9201870,"Scrophularia vernalis",9201870,"f"
"Scutellaria galericulata",9201872,"Scutellaria galericulata",9201872,"f"
"Scutellaria minor",9201874,"Scutellaria minor",9201874,"f"
"Scutellaria sp.",9205232,"Scutellaria sp.",9205232,"f"
"Sedum acre",9201875,"Sedum acre",9201875,"f"
"Sedum anglicum",9201877,"Sedum anglicum",9201877,"f"
"Sedum sp.",9205234,"Sedum sp.",9205234,"f"
"Sedum telephium",9201885,"Sedum telephium",9201885,"f"
"Selaginella selaginoides",9101888,"Selaginella selaginoides",9101888,"f"
"Senecio aquaticus",9201891,"Senecio aquaticus",9201891,"f"
"Senecio erucifolius",9201896,"Senecio erucifolius",9201896,"f"
"Senecio jacobaea",9201899,"Senecio jacobaea",9201899,"f"
"Senecio sylvaticus",9201903,"Senecio sylvaticus",9201903,"f"
"Senecio vulgaris",9201905,"Senecio vulgaris",9201905,"f"
"Seriphidium maritimum",920172,"Seriphidium maritimum",920172,"f"
"Serratula tinctoria",9201906,"Serratula tinctoria",9201906,"f"
"Sesleria caerulea",9201908,"Sesleria caerulea",9201908,"g"
"Silaum silaus",9201916,"Silaum silaus",9201916,"f"
"Silene acaulis",9201917,"Silene acaulis",9201917,"f"
"Silene dioica",9201259,"Silene dioica",9201259,"f"
"Silene dioica x latifolia (S. x hampeana)",9201260,"Silene dioica x latifolia (S. x hampeana)",9201260,"f"
"Silene latifolia",9201258,"Silene latifolia",9201258,"f"
"Silybum marianum",9201930,"Silybum marianum",9201930,"f"
"Sinapis arvensis",9201933,"Sinapis arvensis",9201933,"f"
"Sinapis arvensis/alba",20000407,"Sinapis arvensis/alba",20000407,"f"
"Sisymbrium officinale",9201938,"Sisymbrium officinale",9201938,"f"
"Sium latifolium",9201944,"Sium latifolium",9201944,"f"
"Solanum dulcamara",9201947,"Solanum dulcamara",9201947,"w"
"Solanum nigrum",9201949,"Solanum nigrum",9201949,"f"
"Solidago virgaurea",9201951,"Solidago virgaurea",9201951,"f"
"Sonchus arvensis",9201952,"Sonchus arvensis",9201952,"f"
"Sonchus asper",9201953,"Sonchus asper",9201953,"f"
"Sonchus oleraceus",9201954,"Sonchus oleraceus",9201954,"f"
"Sonchus sp.",9204560,"Sonchus sp.",9204560,"f"
"Sorbus aria",9201958,"Sorbus aria",9201958,"w"
"Sorbus aucuparia",9201960,"Sorbus aucuparia",9201960,"w"
"Sorbus lancastriensis",9201967,"Sorbus lancastriensis",9201967,"w"
"Sorbus sp.",9204561,"Sorbus sp.",9204561,"w"
"Sorbus torminalis",9201977,"Sorbus torminalis",9201977,"w"
"Sparganium erectum",9201981,"Sparganium erectum",9201981,"aq"
"Spergularia rubra",9201992,"Spergularia rubra",9201992,"f"
"Spergularia sp.",9205262,"Spergularia sp.",9205262,"f"
"Sphagnum (green/fat)",20000558,"Sphagnum (green/fat)",20000558,"b"
"Sphagnum auriculatum",820578,"Sphagnum (green/fat)",20000558,"b"
"Sphagnum cuspidatum",820556,"Sphagnum (green/fat)",20000558,"b"
"Sphagnum palustre",820566,"Sphagnum (green/fat)",20000558,"b"
"Sphagnum papillosum",820567,"Sphagnum (green/fat)",20000558,"b"
"Sphagnum squarrosum",820575,"Sphagnum (green/fat)",20000558,"b"
"Sphagnum (green/thin)",20000559,"Sphagnum (green/thin)",20000559,"b"
"Sphagnum compactum",820554,"Sphagnum (green/thin)",20000559,"b"
"Sphagnum fimbriatum",820557,"Sphagnum (green/thin)",20000559,"b"
"Sphagnum girgensohnii",820559,"Sphagnum (green/thin)",20000559,"b"
"Sphagnum quinquefarium",820570,"Sphagnum (green/thin)",20000559,"b"
"Sphagnum quinquefarium",8201243,"Sphagnum (green/thin)",20000559,"b"
"Sphagnum recurvum",820571,"Sphagnum (green/thin)",20000559,"b"
"Sphagnum subnitens",820568,"Sphagnum (green/thin)",20000559,"b"
"Sphagnum tenellum",820579,"Sphagnum (green/thin)",20000559,"b"
"Sphagnum (red/fat)",20000560,"Sphagnum (red/fat)",20000560,"b"
"Sphagnum magellanicum",820562,"Sphagnum (red/fat)",20000560,"b"
"Sphagnum (red/thin)",200001598,"Sphagnum (red/thin)",200001598,"b"
"Sphagnum capillifolium",820564,"Sphagnum (red/thin)",200001598,"b"
"Sphagnum capillifolium/subnitens",200001533,"Sphagnum (red/thin)",200001598,"b"
"Sphagnum rubellum",200001395,"Sphagnum (red/thin)",200001598,"b"
"Sphagnum russowii",820574,"Sphagnum (red/thin)",200001598,"b"
"Sphagnum sp",820570,"Sphagnum sp",820570,"b"
"Sphagnum sp.",8201243,"Sphagnum sp.",8201243,"b"
"Stachys officinalis",920237,"Stachys officinalis",920237,"f"
"Stachys palustris",9202003,"Stachys palustris",9202003,"f"
"Stachys sylvatica",9202005,"Stachys sylvatica",9202005,"f"
"Stellaria graminea",9202009,"Stellaria graminea",9202009,"f"
"Stellaria holostea",9202010,"Stellaria holostea",9202010,"f"
"Stellaria media",9202012,"Stellaria media",9202012,"f"
"Stellaria nemorum",9202014,"Stellaria nemorum",9202014,"f"
"Stellaria pallida",9202008,"Stellaria pallida",9202008,"f"
"Stellaria palustris",9202015,"Stellaria palustris",9202015,"f"
"Stellaria seedling/sp",9205266,"Stellaria seedling/sp",9205266,"f"
"Stellaria uliginosa",9202007,"Stellaria uliginosa",9202007,"f"
"Succisa pratensis",9202021,"Succisa pratensis",9202021,"f"
"Symphoricarpos albus",9202022,"Symphoricarpos albus",9202022,"w"
"Symphoricarpus sp.",200001587,"Symphoricarpos albus",9202022,"w"
"Symphytum officinale",9202024,"Symphytum officinale",9202024,"f"
"Symphytum sp.",9205273,"Symphytum officinale",9202024,"f"
"Syringa vulgaris",9202029,"Syringa vulgaris",9202029,"w"
"Tamus communis",9202032,"Tamus communis",9202032,"w"
"Tanacetum parthenium",920503,"Tanacetum parthenium",920503,"f"
"Tanacetum vulgare",9202033,"Tanacetum vulgare",9202033,"f"
"Taraxacum agg.",9202034,"Taraxacum agg.",9202034,"f"
"Taraxacum pseudolacistophyllum (ery)",9203908,"Taraxacum agg.",9202034,"f"
"Taraxacum sect. vulgaria",9205454,"Taraxacum agg.",9202034,"f"
"Taxus baccata",9202039,"Taxus baccata",9202039,"w"
"Tetraphis pellucida",820589,"Tetraphis pellucida",820589,"b"
"Teucrium scordium",9202045,"Teucrium scordium",9202045,"f"
"Teucrium scorodonia",9202046,"Teucrium scorodonia",9202046,"f"
"Thalictrum minus",9202049,"Thalictrum minus",9202049,"f"
"Thamnobryum alopecurum",820592,"Thamnobryum alopecurum",820592,"b"
"Thelypteris palustris",9102052,"Thelypteris palustris",9102052,"fe"
"Thuidium tamariscinum",820599,"Thuidium tamariscinum",820599,"b"
"Thuja plicata",9202403,"Thuja plicata",9202403,"w"
"Thuja spp.",9205288,"Thuja spp.",9205288,"w"
"Thymus polytrichus",9202060,"Thymus polytrichus",9202060,"f"
"Tilia cordata",9202063,"Tilia cordata",9202063,"w"
"Tilia sp.",9205289,"Tilia sp.",9205289,"w"
"Tilia x vulgaris",9202065,"Tilia x vulgaris",9202065,"w"
"Tolmiea menziesii",9202436,"Tolmiea menziesii",9202436,"f"
"Torilis japonica",9202069,"Torilis japonica",9202069,"f"
"Total bryophyte",20000888,"Total bryophyte",20000888,"b"
"Total lichen",20000854,"Total lichen",20000854,"l"
"TOTAL_WATER",NA,"TOTAL_WATER",NA,""
"TOTAL_WOOD",NA,"TOTAL_WOOD",NA,""
"Trichocolea tomentella",810956,"Trichocolea tomentella",810956,"b"
"Trichophorum cespitosum",9201858,"Trichophorum cespitosum",9201858,"s"
"Trientalis europaea",9202076,"Trientalis europaea",9202076,"f"
"Trifolium dubium",9202081,"Trifolium dubium",9202081,"f"
"Trifolium hybridum",9205459,"Trifolium hybridum",9205459,"f"
"Trifolium medium",9202087,"Trifolium medium",9202087,"f"
"Trifolium pratense",9202091,"Trifolium pratense",9202091,"f"
"Trifolium repens",9202092,"Trifolium repens",9202092,"f"
"Trifolium seedling/sp",9205298,"Trifolium seedling/sp",9205298,"f"
"Triglochin palustre",9202102,"Triglochin palustre",9202102,"m"
"Tripleurospermum inodorum",9201241.1,"Tripleurospermum inodorum",9201241.1,"f"
"Trisetum flavescens",9202105,"Trisetum flavescens",9202105,"g"
"Triticum aestivum",9204367,"Triticum aestivum",9204367,"g"
"Triticum sp.",9205303,"Triticum sp.",9205303,"g"
"Trollius europaeus",9202106,"Trollius europaeus",9202106,"f"
"Tsuga heterophylla",9202404,"Tsuga heterophylla",9202404,"w"
"Tussilago farfara",9202109,"Tussilago farfara",9202109,"f"
"Ulex europaeus",9202112,"Ulex europaeus",9202112,"w"
"Ulex sp.",200001670,"Ulex sp./seedling",9205313,"w"
"Ulex sp./seedling",9205313,"Ulex sp./seedling",9205313,"w"
"Ulmus glabra",9202119,"Ulmus glabra",9202119,"w"
"Ulmus procera",9202122,"Ulmus procera",9202122,"w"
"Ulmus minor",9202115,"Ulmus seedling/sp",9202115,"w"
"Ulmus minor (c)",9202115,"Ulmus seedling/sp",9202115,"w"
"Ulmus sp.",9204314,"Ulmus sp.",9204314,"w"
"Umbilicus rupestris",9202125,"Umbilicus rupestris",9202125,"f"
"Urtica dioica",9202126,"Urtica dioica",9202126,"f"
"Vaccinium myrtillus",9202136,"Vaccinium myrtillus",9202136,"w"
"Vaccinium oxycoccos",9201419,"Vaccinium oxycoccos",9201419,"w"
"Vaccinium uliginosum",9202137,"Vaccinium uliginosum",9202137,"w"
"Vaccinium vitis-idaea",9202138,"Vaccinium vitis-idaea",9202138,"w"
"Valeriana dioica",9202139,"Valeriana dioica",9202139,"f"
"Valeriana officinalis",9202140,"Valeriana officinalis",9202140,"f"
"Valeriana sp.",200001671,"Valeriana officinalis",9202140,"f"
"Verbascum thapsus",9202157,"Verbascum thapsus",9202157,"f"
"Veronica agrestis",9202161,"Veronica agrestis",9202161,"f"
"Veronica alpina",9202162,"Veronica alpina",9202162,"f"
"Veronica anagallis-aquatica",9202163,"Veronica anagallis-aquatica",9202163,"f"
"Veronica arvensis",9202165,"Veronica arvensis",9202165,"f"
"Veronica beccabunga",9202166,"Veronica beccabunga",9202166,"f"
"Veronica chamaedrys",9202168,"Veronica chamaedrys",9202168,"f"
"Veronica hederifolia",9202171,"Veronica hederifolia",9202171,"f"
"Veronica montana",9202172,"Veronica montana",9202172,"f"
"Veronica officinalis",9202173,"Veronica officinalis",9202173,"f"
"Veronica persica",9202175,"Veronica persica",9202175,"f"
"Veronica polita",9202176,"Veronica polita",9202176,"f"
"Veronica scutellata",9202179,"Veronica scutellata",9202179,"f"
"Veronica seedling/sp",9204563,"Veronica seedling/sp",9204563,"f"
"Veronica serpyllifolia",9202180,"Veronica serpyllifolia",9202180,"f"
"Viburnum lantana",9202184,"Viburnum lantana",9202184,"w"
"Viburnum opulus",9202185,"Viburnum opulus",9202185,"w"
"Vicia cracca",9202189,"Vicia cracca",9202189,"f"
"Vicia hirsuta",9202191,"Vicia hirsuta",9202191,"f"
"Vicia orobus",9202196,"Vicia orobus",9202196,"f"
"Vicia sativa",9202516,"Vicia sativa",9202516,"f"
"Vicia seedling/sp",9204564,"Vicia seedling/sp",9204564,"f"
"Vicia sepium",9202198,"Vicia sepium",9202198,"f"
"Vicia sylvatica",9202199,"Vicia sylvatica",9202199,"f"
"Vicia tetrasperma",9202202,"Vicia tetrasperma",9202202,"f"
"Viola arvensis",9202206,"Viola arvensis",9202206,"f"
"Viola canina",9202207,"Viola canina",9202207,"f"
"Viola hirta",9202210,"Viola hirta",9202210,"f"
"Viola odorata",9202214,"Viola odorata",9202214,"f"
"Viola palustris",9202215,"Viola palustris",9202215,"f"
"Viola reichenbachiana",9202217,"Viola riviniana/reichenbiana",200001595,"f"
"Viola riviniana",9202218,"Viola riviniana/reichenbiana",200001595,"f"
"Viola riviniana/reichenbiana",200001595,"Viola riviniana/reichenbiana",200001595,"f"
"Viola seedling/sp",9204565,"Viola seedling/sp",9204565,"f"
"Viola tricolor",9202220,"Viola tricolor",9202220,"f"
"Vulpia bromoides",9202226,"Vulpia bromoides",9202226,"g"
"Wahlenbergia hederacea",9202230,"Wahlenbergia hederacea",9202230,"f"
"Weissia controversa",8201260,"Weissia controversa",8201260,"b"
"Weissia sp.",8201260,"Weissia sp.",8201260,"b"
"Prunus lusitanica",9202618,"Prunus lusitanica",9202618,"w"
"Tilia platyphyllos",9202064,"Tilia platyphyllos",9202064,"w"
